"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
-0.8385131359100342,0.1135204508900642,-0.1644773483276367,-0.8385131523838032,0.1135204532044286,-0.1644773540145816,12.0,4.0,27771.0,0.862,829379995.0,829379995.0,-11.0
-1.092217922210693,0.148450180888176,-0.1745808571577072,-1.092217956520191,0.1484501860366227,-0.1745808629848977,15.0,6.0,27774.0,1.116,829379999.0,829379999.0,-9.0
-1.327635049819946,0.1811552345752716,-0.1645236164331436,-1.327635025658598,0.1811552351258353,-0.1645236135969491,5.0,8.0,27777.0,1.35,829380004.0,829380004.0,-7.0
-20.93329811096191,2.871227264404297,-1.848573327064514,-20.93329718406582,2.87122721924128,-1.84857330367783,9.0,10.0,27781.0,21.21,829380009.0,829380009.0,-5.0
-28.53523063659668,3.929137468338013,-1.509578347206116,-28.53523064475879,3.929137480485336,-1.509578321871472,12.0,12.0,27784.0,28.844,829380013.0,829380013.0,-3.0
-0.6140289902687073,0.08673332631587982,-0.1661618202924728,-0.6140289709899107,0.08673332720342412,-0.1661618269558183,10.0,0.0,27804.0,0.642,829380041.0,829380041.0,-15.0
-63.43733978271484,8.983290672302246,1.118350148200989,-63.43734063671589,8.98329036385708,1.118350204501127,37.0,1.0,27806.0,64.08,829380043.0,829380043.0,1.0
-0.6753048300743103,0.0957493856549263,-0.1574657410383225,-0.6753048176830547,0.09574938410951954,-0.1574657380407055,11.0,2.0,27807.0,0.7000000000000001,829380045.0,829380045.0,-13.0
-0.833812952041626,0.1188176348805428,-0.1637141108512878,-0.8338129626576498,0.1188176369935246,-0.1637141180330755,13.0,4.0,27811.0,0.858,829380050.0,829380050.0,-11.0
-68.68341827392578,9.799559593200684,6.06987476348877,-68.683418559488,9.799559885766215,6.069874547917906,37.0,5.0,27812.0,69.644,829380052.0,829380052.0,5.0
-1.098976850509644,0.1571904122829437,-0.1758323460817337,-1.098976869979492,0.1571904192867149,-0.1758323387052195,15.0,6.0,27814.0,1.124,829380055.0,829380055.0,-9.0
